route,viewport,width,capture,file,result
/eviction-cost-uk,desktop,1440,full-page,screenshots/eviction-cost-uk-desktop-full.png,PASS
/eviction-cost-uk,desktop,1440,first-viewport,screenshots/eviction-cost-uk-desktop-first.png,PASS
/how-to-rent-guide,mobile,390,full-page,screenshots/how-to-rent-guide-mobile-full.png,PASS
/how-to-rent-guide,mobile,390,first-viewport,screenshots/how-to-rent-guide-mobile-first.png,PASS
/how-to-rent-guide,tablet,768,full-page,screenshots/how-to-rent-guide-tablet-full.png,PASS
/how-to-rent-guide,tablet,768,first-viewport,screenshots/how-to-rent-guide-tablet-first.png,PASS
/how-to-rent-guide,desktop,1440,full-page,screenshots/how-to-rent-guide-desktop-full.png,PASS
/how-to-rent-guide,desktop,1440,first-viewport,screenshots/how-to-rent-guide-desktop-first.png,PASS
/n5-n119-possession-claim,mobile,390,full-page,screenshots/n5-n119-possession-claim-mobile-full.png,PASS
/n5-n119-possession-claim,mobile,390,first-viewport,screenshots/n5-n119-possession-claim-mobile-first.png,PASS
/n5-n119-possession-claim,tablet,768,full-page,screenshots/n5-n119-possession-claim-tablet-full.png,PASS
/n5-n119-possession-claim,tablet,768,first-viewport,screenshots/n5-n119-possession-claim-tablet-first.png,PASS
/n5-n119-possession-claim,desktop,1440,full-page,screenshots/n5-n119-possession-claim-desktop-full.png,PASS
/n5-n119-possession-claim,desktop,1440,first-viewport,screenshots/n5-n119-possession-claim-desktop-first.png,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,390,full-page,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-mobile-full.png,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,390,first-viewport,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-mobile-first.png,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,768,full-page,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-tablet-full.png,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,768,first-viewport,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-tablet-first.png,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,1440,full-page,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-desktop-full.png,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,1440,first-viewport,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-desktop-first.png,PASS
